shape_index,qid,category,backend,dtype,m,n,k,flops,baseline_ms,moonpoly_ms,speedup,cosine_similarity,correctness_passed,status,error,wall_seconds
1,0,Real-World,cublas,FP16,1,1,1,2,0.00855,0.007526,1.136054,1.0,True,pass,,0.7254712991416454
1,0,Real-World,cublas,FP32,1,1,1,2,0.008755,0.008448,1.036364,1.0,True,pass,,0.7254712991416454
1,0,Real-World,cublas,INT8,1,1,1,2,0.010496,0.008294,1.265432,0.0,False,incorrect,Cosine similarity threshold failed,0.7254712991416454
2,1,Real-World,cublas,FP16,1,1,3,6,0.008499,0.007731,1.099338,1.0,True,pass,,0.7517151441425085
2,1,Real-World,cublas,FP32,1,1,3,6,0.008397,0.008806,0.953488,1.0,True,pass,,0.7517151441425085
2,1,Real-World,cublas,INT8,1,1,3,6,0.010086,0.008448,1.193939,0.0,False,incorrect,Cosine similarity threshold failed,0.7517151441425085
3,2,Real-World,cublas,FP16,2,2,2,16,0.015923,0.008858,1.797688,1.0,True,pass,,0.6901489496231079
3,2,Real-World,cublas,FP32,2,2,2,16,0.010189,0.008755,1.163743,1.0,True,pass,,0.6901489496231079
3,2,Real-World,cublas,INT8,2,2,2,16,0.009882,0.007066,1.398551,0.0,False,incorrect,Cosine similarity threshold failed,0.6901489496231079
4,3,Real-World,cublas,FP16,2,2,4,32,0.015923,0.009114,1.747191,1.0,True,pass,,0.8123918566852808
4,3,Real-World,cublas,FP32,2,2,4,32,0.010547,0.00855,1.233533,1.0,True,pass,,0.8123918566852808
4,3,Real-World,cublas,INT8,2,2,4,32,,,,,False,missing,Running INT8...Error benchmarking size 2x2x4: std::exception,0.8123918566852808
5,4,Real-World,cublas,FP16,2,4,4,64,0.022938,0.014797,1.550173,1.0,True,pass,,0.8356087040156126
5,4,Real-World,cublas,FP32,2,4,4,64,0.011469,0.009677,1.185185,1.0,True,pass,,0.8356087040156126
5,4,Real-World,cublas,INT8,2,4,4,64,,,,,False,missing,Running INT8...Error benchmarking size 2x4x4: std::exception,0.8356087040156126
6,5,Real-World,cublas,FP16,1,1,24,48,0.008192,0.011725,0.69869,1.0,True,pass,,0.7558593042194843
6,5,Real-World,cublas,FP32,1,1,24,48,0.008141,0.00983,0.828125,1.0,True,pass,,0.7558593042194843
6,5,Real-World,cublas,INT8,1,1,24,48,0.008346,0.007168,1.164286,1.0,True,pass,,0.7558593042194843
7,6,Real-World,cublas,FP16,1,1,25,50,0.008141,0.007014,1.160584,1.0,True,pass,,0.7512162793427706
7,6,Real-World,cublas,FP32,1,1,25,50,0.008397,0.010701,0.784689,1.0,True,pass,,0.7512162793427706
7,6,Real-World,cublas,INT8,1,1,25,50,0.010035,0.008346,1.202454,0.0,False,incorrect,Cosine similarity threshold failed,0.7512162793427706
8,7,Real-World,cublas,FP16,1,1,48,96,0.008499,0.012083,0.70339,1.0,True,pass,,0.7202171552926302
8,7,Real-World,cublas,FP32,1,1,48,96,0.008704,0.011418,0.762332,1.0,True,pass,,0.7202171552926302
8,7,Real-World,cublas,INT8,1,1,48,96,0.008346,0.007885,1.058442,1.0,True,pass,,0.7202171552926302
9,8,Real-World,cublas,FP16,1,1,96,192,0.008704,0.0128,0.68,1.0,True,pass,,0.787191042676568
9,8,Real-World,cublas,FP32,1,1,96,192,0.013107,0.018637,0.703297,1.0,True,pass,,0.787191042676568
9,8,Real-World,cublas,INT8,1,1,96,192,0.01239,0.010803,1.146919,1.0,True,pass,,0.787191042676568
10,9,Real-World,cublas,FP16,1,1,128,256,0.008294,0.01239,0.669421,1.0,True,pass,,0.7486508060246706
10,9,Real-World,cublas,FP32,1,1,128,256,0.009011,0.018432,0.488889,1.0,True,pass,,0.7486508060246706
10,9,Real-World,cublas,INT8,1,1,128,256,0.008294,0.008243,1.006211,1.0,True,pass,,0.7486508060246706
1,0,Real-World,cutlass-default,FP16,1,1,1,2,0.007322,0.004147,1.765432,,True,pass,,0.3547280803322792
2,1,Real-World,cutlass-default,FP16,1,1,3,6,0.007322,0.004147,1.765432,,True,pass,,0.31723501719534397
3,2,Real-World,cutlass-default,FP16,2,2,2,16,0.007373,0.004608,1.6,,True,pass,,0.31481993943452835
4,3,Real-World,cutlass-default,FP16,2,2,4,32,0.007219,0.004915,1.46875,,True,pass,,0.3224826753139496
5,4,Real-World,cutlass-default,FP16,2,4,4,64,0.007373,0.004966,1.484536,,True,pass,,0.33821032010018826
6,5,Real-World,cutlass-default,FP16,1,1,24,48,0.01024,0.007936,1.290323,,True,pass,,0.3176447656005621
7,6,Real-World,cutlass-default,FP16,1,1,25,50,0.011776,0.004096,2.875,,True,pass,,0.32884784042835236
8,7,Real-World,cutlass-default,FP16,1,1,48,96,0.014848,0.007782,1.907895,,True,pass,,0.32681363448500633
9,8,Real-World,cutlass-default,FP16,1,1,96,192,0.023859,0.007834,3.045752,,True,pass,,0.31419562734663486
10,9,Real-World,cutlass-default,FP16,1,1,128,256,0.030003,0.008499,3.53012,,True,pass,,0.3336151633411646
