shape_index,qid,category,backend,dtype,m,n,k,flops,baseline_ms,moonpoly_ms,speedup,cosine_similarity,correctness_passed,status,error,wall_seconds
1,0,Real-World,cublas,FP16,1,1,1,2,0.008192,0.007219,1.134752,1.0,True,pass,,0.7557336129248142
1,0,Real-World,cublas,FP32,1,1,1,2,0.012032,0.013466,0.893536,1.0,True,pass,,0.7557336129248142
1,0,Real-World,cublas,INT8,1,1,1,2,0.009267,0.01408,0.658182,0.0,False,incorrect,Cosine similarity threshold failed,0.7557336129248142
2,1,Real-World,cublas,FP16,1,1,3,6,0.00809,0.00768,1.053333,1.0,True,pass,,1.7849077377468348
2,1,Real-World,cublas,FP32,1,1,3,6,0.008294,0.011981,0.692308,1.0,True,pass,,1.7849077377468348
2,1,Real-World,cublas,INT8,1,1,3,6,0.009267,0.014234,0.651079,0.0,False,incorrect,Cosine similarity threshold failed,1.7849077377468348
3,2,Real-World,cublas,FP16,2,2,2,16,0.013363,0.007066,1.891304,1.0,True,pass,,1.8556800950318575
3,2,Real-World,cublas,FP32,2,2,2,16,0.010035,0.008038,1.248408,1.0,True,pass,,1.8556800950318575
3,2,Real-World,cublas,INT8,2,2,2,16,0.022579,0.00855,2.640718,0.0,False,incorrect,Cosine similarity threshold failed,1.8556800950318575
4,3,Real-World,cublas,FP16,2,2,4,32,0.013978,0.008397,1.664634,1.0,True,pass,,0.97596768848598
4,3,Real-World,cublas,FP32,2,2,4,32,0.010598,0.008397,1.262195,1.0,True,pass,,0.97596768848598
4,3,Real-World,cublas,INT8,2,2,4,32,,,,,False,missing,Running INT8...Error benchmarking size 2x2x4: std::exception,0.97596768848598
5,4,Real-World,cublas,FP16,2,4,4,64,0.014643,0.008806,1.66279,1.0,True,pass,,1.8785780351608992
5,4,Real-World,cublas,FP32,2,4,4,64,0.010035,0.008448,1.187879,1.0,True,pass,,1.8785780351608992
5,4,Real-World,cublas,INT8,2,4,4,64,,,,,False,missing,Running INT8...Error benchmarking size 2x4x4: std::exception,1.8785780351608992
6,5,Real-World,cublas,FP16,1,1,24,48,0.007526,0.014643,0.513986,1.0,True,pass,,1.8902089763432741
6,5,Real-World,cublas,FP32,1,1,24,48,0.008653,0.010035,0.862245,1.0,True,pass,,1.8902089763432741
6,5,Real-World,cublas,INT8,1,1,24,48,0.008448,0.007322,1.153846,1.0,True,pass,,1.8902089763432741
7,6,Real-World,cublas,FP16,1,1,25,50,0.008499,0.007629,1.114094,1.0,True,pass,,1.7342906799167395
7,6,Real-World,cublas,FP32,1,1,25,50,0.007168,0.010547,0.679612,1.0,True,pass,,1.7342906799167395
7,6,Real-World,cublas,INT8,1,1,25,50,0.002816,0.009728,0.289474,0.0,False,incorrect,Cosine similarity threshold failed,1.7342906799167395
8,7,Real-World,cublas,FP16,1,1,48,96,0.008806,0.012288,0.716667,1.0,True,pass,,0.812189256772399
8,7,Real-World,cublas,FP32,1,1,48,96,0.008755,0.011981,0.730769,1.0,True,pass,,0.812189256772399
8,7,Real-World,cublas,INT8,1,1,48,96,0.012544,0.0128,0.98,1.0,True,pass,,0.812189256772399
9,8,Real-World,cublas,FP16,1,1,96,192,0.010291,0.012698,0.810484,1.0,True,pass,,1.7223363164812326
9,8,Real-World,cublas,FP32,1,1,96,192,0.009882,0.017203,0.574405,1.0,True,pass,,1.7223363164812326
9,8,Real-World,cublas,INT8,1,1,96,192,0.009114,0.009318,0.978022,1.0,True,pass,,1.7223363164812326
10,9,Real-World,cublas,FP16,1,1,128,256,0.008755,0.012954,0.675889,1.0,True,pass,,1.6464917045086622
10,9,Real-World,cublas,FP32,1,1,128,256,0.007578,0.01879,0.40327,1.0,True,pass,,1.6464917045086622
10,9,Real-World,cublas,INT8,1,1,128,256,0.00896,0.008858,1.011561,1.0,True,pass,,1.6464917045086622
11,10,Real-World,cublas,FP16,53,4,1,424,0.010086,0.009779,1.031414,1.0,True,pass,,0.8710169643163681
11,10,Real-World,cublas,FP32,53,4,1,424,0.008653,0.009523,0.908602,1.0,True,pass,,0.8710169643163681
11,10,Real-World,cublas,INT8,53,4,1,424,0.009626,0.014336,0.671429,0.0,False,incorrect,Cosine similarity threshold failed,0.8710169643163681
