shape_index,DataType,M,N,K,cuBLAS_time_ms,Moonpoly_time_ms,Speedup,Cosine_Similarity,Correctness_Passed
1,FP16,1,1,1,0.008294,0.007526,1.102041,1.00000000,TRUE
1,FP32,1,1,1,0.008141,0.008704,0.935294,1.00000000,TRUE
1,INT8,1,1,1,0.009677,0.008448,1.145454,0.00000000,FALSE
2,FP16,1,1,3,0.007270,0.007731,0.940397,1.00000000,TRUE
2,FP32,1,1,3,0.007782,0.008653,0.899408,1.00000000,TRUE
2,INT8,1,1,3,0.002867,0.008550,0.335329,0.00000000,FALSE
3,FP16,2,2,2,0.015462,0.008602,1.797619,1.00000000,TRUE
3,FP32,2,2,2,0.009933,0.009165,1.083799,1.00000000,TRUE
3,INT8,2,2,2,0.003379,0.009318,0.362637,0.00000000,FALSE
4,FP16,2,2,4,0.013670,0.007782,1.756579,1.00000000,TRUE
4,FP32,2,2,4,0.008806,0.008294,1.061728,1.00000000,TRUE
5,FP16,2,4,4,0.013005,0.007475,1.739726,1.00000000,TRUE
5,FP32,2,4,4,0.008499,0.007936,1.070968,1.00000000,TRUE
6,FP16,1,1,24,0.006912,0.007782,0.888158,1.00000000,TRUE
6,FP32,1,1,24,0.007066,0.009523,0.741936,1.00000000,TRUE
6,INT8,1,1,24,0.007066,0.008090,0.873418,1.00000000,TRUE
7,FP16,1,1,25,0.007373,0.007629,0.966443,1.00000000,TRUE
7,FP32,1,1,25,0.007117,0.010394,0.684729,1.00000000,TRUE
7,INT8,1,1,25,0.003123,0.009882,0.316062,0.00000000,FALSE
8,FP16,1,1,48,0.007322,0.007526,0.972789,1.00000000,TRUE
8,FP32,1,1,48,0.007629,0.011622,0.656388,1.00000000,TRUE
8,INT8,1,1,48,0.007373,0.007731,0.953643,1.00000000,TRUE
9,FP16,1,1,96,0.007117,0.008192,0.868750,1.00000000,TRUE
9,FP32,1,1,96,0.007219,0.015616,0.462295,1.00000000,TRUE
9,INT8,1,1,96,0.007424,0.008192,0.906250,1.00000000,TRUE
10,FP16,1,1,128,0.007270,0.008346,0.871165,1.00000000,TRUE
10,FP32,1,1,128,0.007219,0.018330,0.393855,1.00000000,TRUE
10,INT8,1,1,128,0.007014,0.008243,0.850932,1.00000000,TRUE
