shape_index,qid,category,backend,dtype,m,n,k,flops,baseline_ms,moonpoly_ms,speedup,cosine_similarity,correctness_passed,status,error,wall_seconds
1,0,Real-World,cublas,INT8,1,1,1,2,0.010291,0.008499,1.210843,0.0,False,incorrect,Cosine similarity threshold failed,0.7606543265283108
2,1,Real-World,cublas,INT8,1,1,3,6,0.012544,0.009011,1.392046,0.0,False,incorrect,Cosine similarity threshold failed,0.8255782872438431
3,2,Real-World,cublas,INT8,2,2,2,16,0.009984,0.007117,1.402878,0.0,False,incorrect,Cosine similarity threshold failed,0.7791837826371193
4,3,Real-World,cublas,INT8,2,2,4,32,,,,,False,missing,Running INT8...Error benchmarking size 2x2x4: std::exception,0.7971766013652086
5,4,Real-World,cublas,INT8,2,4,4,64,,,,,False,missing,Running INT8...Error benchmarking size 2x4x4: std::exception,0.7842672355473042
7,6,Real-World,cublas,INT8,1,1,25,50,0.010394,0.008192,1.26875,0.0,False,incorrect,Cosine similarity threshold failed,0.7750608958303928
11,10,Real-World,cublas,INT8,53,4,1,424,0.009882,0.008346,1.184049,0.0,False,incorrect,Cosine similarity threshold failed,0.7604154907166958
14,13,Real-World,cublas,INT8,27,10,4,2160,,,,,False,missing,Running INT8...Error benchmarking size 27x10x4: std::exception,0.7868425734341145
16,15,Real-World,cublas,INT8,93,5,2,1860,,,,,False,missing,Running INT8...Error benchmarking size 93x5x2: std::exception,0.8148283176124096
18,17,Real-World,cublas,INT8,184,1,3,1104,0.010496,0.008448,1.242424,0.0,False,incorrect,Cosine similarity threshold failed,0.7471706904470921
21,20,Real-World,cublas,INT8,58,2,12,2784,,,,,False,missing,Running INT8...Error benchmarking size 58x2x12: std::exception,0.7915432006120682
25,24,Real-World,cublas,INT8,1,25,50,2500,,,,,False,missing,Running INT8...Error benchmarking size 1x25x50: std::exception,0.7821741346269846
28,27,Real-World,cublas,INT8,68,10,10,13600,0.010445,0.007219,1.446808,0.0,False,incorrect,Cosine similarity threshold failed,0.67365987226367
30,29,Real-World,cublas,INT8,1,5,256,2560,,,,,False,missing,Running INT8...Error benchmarking size 1x5x256: std::exception,0.7794152684509754
